display,4095
other,3644
ppc brand,2937
organic,2403
display-display,1987
display-display-display,1410
video,1111
social,1105
display-display-display-display,1092
display-display-display-display-display,885
display-display-display-display-display-display,810
display-display-display-display-display-display-display,800
coupon,747
ppc nonbrand,579
video-video,531
ppc brand-ppc brand,394
other-other,394
display-other,318
content,304
video-display,270
organic-organic,227
video-video-video,195
display-ppc brand,185
ppc brand-organic,152
social-social,149
video-display-display,137
email,122
content-display,121
video-video-video-video,112
display-video,109
display-display-other,102
display-display-ppc brand,101
organic brand,97
display-organic,89
ppc brand-ppc brand-ppc brand,87
video-display-display-display,86
video-video-video-video-video,83
organic-ppc brand,80
video-video-display,78
video-display-display-display-display,75
content-content,74
video-display-display-display-display-display,72
other-other-other,70
content-display-display,66
ppc nonbrand-ppc nonbrand,63
coupon-coupon,58
ppc brand-coupon,55
other-coupon,55
social-other,53
display-display-display-display-display-display-display-ppc brand,53
content-video,51
content-display-display-display,50
display-social,50
display-display-display-video,50
influencer,50
display-display-video,49
display-coupon,48
display-display-display-other,48
organic-organic-organic,47
organic-coupon,47
display-display-display-ppc brand,47
video-video-video-video-video-video,44
display-display-display-display-other,43
video-video-video-display,43
display-display-display-display-display-ppc brand,42
display-video-video,42
video-video-display-display,42
display-ppc nonbrand,42
content-display-display-display-display-display,41
content-display-display-display-display,40
video-ppc brand,37
display-display-display-display-display-display-other,37
display-display-display-display-display-display-display-other,37
display-display-display-display-organic,37
content-content-content,36
display-ppc brand-ppc brand,36
display-display-display-display-display-display-ppc brand,36
display-display-organic,35
video-video-display-display-display-display,32
display-display-display-display-display-other,32
video-other,32
display-video-display,31
social-social-social,31
other-coupon-other,30
coupon-other,30
video-organic,30
video-video-video-video-video-video-video,30
display-display-social,29
display-display-display-display-social,29
video-video-video-video-display,29
ppc brand-organic-ppc brand,28
video-video-display-display-display,28
content-display-display-display-display-display-display,28
content-content-display,28
display-display-display-display-display-video,27
video-video-video-video-video-video-video-video,25
video-video-display-display-display-display-display,25
ppc nonbrand-ppc brand,25
other-other-other-other,25
display-display-display-display-video,25
display-display-display-display-ppc brand,25
email-other,24
organic nonbrand,24
video-video-video-display-display,23
ppc brand-ppc brand-ppc brand-ppc brand,22
social-social-social-social,21
social-display-other,21
display-display-display-organic,21
video-video-video-display-display-display,20
email-email,20
video-video-video-video-video-display,20
display-display-video-video,20
ppc brand-organic-organic,19
ppc brand-other,18
display-video-video-video,18
ppc brand-ppc brand-organic,18
content-video-display,18
organic-other,18
video-social-social,17
display-video-display-display,17
organic-coupon-organic,17
other-ppc brand,16
video-video-video-video-video-display-display,16
display-display-display-display-social-social,16
content-content-display-display,16
other-display-other,16
display-social-social,16
content-content-display-display-display-display-display,16
other-display-display,15
other-display,15
video-social,14
display-organic-organic,14
display-display-display-display-display-display-video,14
display-display-video-display,14
display-video-video-video-video,14
display-display-coupon,14
display-display-display-social,14
display-other-other,14
display-display-ppc nonbrand,14
social-display,13
display-other-display-display-display-other,13
video-video-other,13
video-display-other,13
organic-organic-organic-organic,13
content-content-content-display,12
social-social-social-social-social,12
content-content-content-content,12
display-display-display-video-display-display,12
ppc brand-coupon-ppc brand,12
display-display-display-display-video-video,12
social-organic,12
display-display-other-other,12
display-ppc brand-ppc brand-ppc brand,12
display-display-display-video-display,12
video-video-video-video-display-display,12
display-display-display-display-display-organic,12
display-ppc brand-organic,11
video-video-video-video-video-video-display,11
coupon-coupon-coupon,11
content-video-video,11
video-video-organic,11
